FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,MAX_FREQ,DB_THRESHOLD,FREQ_STEPS,LEFT_CHANNEL,RIGHT_CHANNEL
0.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.525025,NA
1.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.189647,NA
10.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.574718,NA
11.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.356334,NA
12.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.796598,NA
13.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.426305,NA
14.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.326118,NA
15.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.699953,NA
16.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.805473,NA
17.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.804722,NA
18.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.622652,NA
19.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.628909,NA
2.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.560817,NA
20.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.518643,NA
21.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.528036,NA
22.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.434378,NA
23.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.538519,NA
3.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.431026,NA
4.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.614179,NA
5.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.765181,NA
6.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.671425,NA
7.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.805068,NA
8.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.644852,NA
9.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.449087,NA