FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,FFT_W,MIN_FREQ,MAX_FREQ,LEFT_CHANNEL,RIGHT_CHANNEL
0.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,40.7583526329745,NA
1.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,36.3110930287679,NA
10.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,34.8995585403248,NA
11.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,28.0321260945216,NA
12.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,27.3283078878344,NA
13.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,28.8589898002107,NA
14.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,31.0544203645707,NA
15.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,28.2858683909616,NA
16.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,26.2836096874258,NA
17.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,24.8817812559716,NA
18.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,39.5323533089428,NA
19.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,36.4148858395127,NA
2.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,35.8239980670036,NA
20.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,36.7641609389248,NA
21.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,45.4998629007984,NA
22.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,43.3886527422934,NA
23.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,39.3488121999787,NA
3.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,31.8609777558792,NA
4.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,33.0282294470571,NA
5.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,35.37923376231,NA
6.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,25.0620013251972,NA
7.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,23.0439657967288,NA
8.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,31.3774723623815,NA
9.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,36.369574830894,NA