FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,FFT_W,MIN_FREQ,MAX_FREQ,J,LEFT_CHANNEL,RIGHT_CHANNEL
0.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1896.08609401011,NA
1.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1874.5146247637,NA
10.wav,22050,16,60.01,1,acoustic_complexity,512,1,11025,5,1917.98529120229,NA
11.wav,22050,16,60.01,1,acoustic_complexity,512,1,11025,5,1922.40917669257,NA
12.wav,22050,16,60.01,1,acoustic_complexity,512,1,11025,5,1881.69748293415,NA
13.wav,22050,16,60.01,1,acoustic_complexity,512,1,11025,5,1897.86765811143,NA
14.wav,22050,16,60.01,1,acoustic_complexity,512,1,11025,5,1916.49421711848,NA
15.wav,22050,16,60.01,1,acoustic_complexity,512,1,11025,5,1952.43837327606,NA
16.wav,22050,16,60.01,1,acoustic_complexity,512,1,11025,5,1952.24781899294,NA
17.wav,22050,16,60.01,1,acoustic_complexity,512,1,11025,5,1969.01811568126,NA
18.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1916.41630276081,NA
19.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1916.73151356251,NA
2.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1859.8616171266,NA
20.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1878.37756504083,NA
21.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1873.94391130732,NA
22.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1906.57160699187,NA
23.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1914.63093223346,NA
3.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1871.93881993444,NA
4.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1852.93554127258,NA
5.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1871.52674114264,NA
6.wav,22050,16,60.01,1,acoustic_complexity,512,1,11025,5,1950.13904479206,NA
7.wav,22050,16,60.01,1,acoustic_complexity,512,1,11025,5,1933.89487254167,NA
8.wav,22050,16,60.01,1,acoustic_complexity,512,1,11025,5,1933.28731934249,NA
9.wav,22050,16,60.01,1,acoustic_complexity,512,1,11025,5,1959.03321776965,NA